"","stcd2","cycle","stateabrev","stcd","dem_share","dem_share_imputed","dpres","incumb","winner_dem","uncontested","votes_dem","votes_rep","votes_dem_est","votes_rep_est","chamber"
"50","1970s_534",1972,"CA","534",0.698699435035062,0.698699435035062,33.82,1,1,0,115880,49971,115880,49971,"us_house"
"51","1970s_535",1972,"CA","535",0.74792081030004,0.74792081030004,46.17,1,1,0,105667,35614,105667,35614,"us_house"
"52","1970s_536",1972,"CA","536",0.451933488493659,0.451933488493659,40.58,0,0,0,72623,88071,72623,88071,"us_house"
"53","1970s_537",1972,"CA","537",0.74815488093074,0.74815488093074,63.64,0,1,0,123468,41562,123468,41562,"us_house"
"54","1970s_538",1972,"CA","538",0.56309753506623,0.56309753506623,47.61,0,1,0,77922,60459,77922,60459,"us_house"
"55","1970s_539",1972,"CA","539",0.342960272897954,0.342960272897954,25.44,0,0,0,77817,149081,77817,149081,"us_house"
"56","1970s_540",1972,"CA","540",0.308828111784764,0.308828111784764,35.9,-1,0,0,69377,155269,69377,155269,"us_house"
"57","1970s_541",1972,"CA","541",0.740487539325345,0.740487539325345,43.31,1,1,0,116980,40997,116980,40997,"us_house"
"58","1970s_542",1972,"CA","542",0.301429100398491,0.301429100398491,29.75,0,0,0,68381,158475,68381,158475,"us_house"
"59","1970s_543",1972,"CA","543",0.37279552994587,0.37279552994587,36.14,-1,0,0,70455,118536,70455,118536,"us_house"
"60","1970s_601",1972,"CO","601",0.520706670416486,0.520706670416486,44.7,-1,1,0,101832,93733,101832,93733,"us_house"
"61","1970s_602",1972,"CO","602",0.335125564878949,0.335125564878949,35.05,-1,0,0,66817,132562,66817,132562,"us_house"
"62","1970s_603",1972,"CO","603",0.663373789852345,0.663373789852345,35.78,1,1,0,107511,54556,107511,54556,"us_house"
"63","1970s_604",1972,"CO","604",0.489677402025303,0.489677402025303,32.83,0,0,0,91151,94994,91151,94994,"us_house"
"64","1970s_605",1972,"CO","605",0.369019508119301,0.369019508119301,29.38,0,0,0,60948,104214,60948,104214,"us_house"
"65","1970s_701",1972,"CT","701",0.576057014663558,0.576057014663558,48.57,1,1,0,130701,96188,130701,96188,"us_house"
"66","1970s_702",1972,"CT","702",0.340612731676984,0.340612731676984,40.03,-1,0,0,73400,142094,73400,142094,"us_house"
"67","1970s_703",1972,"CT","703",0.532751725047247,0.532751725047247,38.1,1,1,0,121217,106313,121217,106313,"us_house"
"68","1970s_704",1972,"CT","704",0.369153845439605,0.369153845439605,37.13,-1,0,0,79515,135883,79515,135883,"us_house"
"69","1970s_705",1972,"CT","705",0.488168204771026,0.488168204771026,37.84,1,0,0,112142,117578,112142,117578,"us_house"
"70","1970s_706",1972,"CT","706",0.601914421661883,0.601914421661883,41.88,1,1,0,140290,92783,140290,92783,"us_house"
"71","1970s_801",1972,"DE","801",0.370789470167107,0.370789470167107,39.67,-1,0,0,83230,141237,83230,141237,"us_house"
"72","1970s_901",1972,"FL","901",NA,0.544395575221218,16.31,1,1,1,0,0,91751.1491899735,76786.4976354805,"us_house"
"73","1970s_902",1972,"FL","902",NA,0.635616884032438,31.41,1,1,1,0,0,115191.762099199,66036.5296485077,"us_house"
"74","1970s_903",1972,"FL","903",0.820321850234514,0.820321850234514,30.2,1,1,0,101441,22219,101441,22219,"us_house"
"75","1970s_904",1972,"FL","904",0.559156742255334,0.559156742255334,23.46,1,1,0,92541,72960,92541,72960,"us_house"
"76","1970s_905",1972,"FL","905",0.444889859099028,0.444889859099028,21.6,0,1,0,78463,97902,78463,97902,"us_house"
"77","1970s_906",1972,"FL","906",0.240327123946115,0.240327123946115,30.59,-1,0,0,49399,156150,49399,156150,"us_house"
"78","1970s_907",1972,"FL","907",0.679591052234724,0.679591052234724,30.29,1,1,0,91931,43343,91931,43343,"us_house"
"79","1970s_908",1972,"FL","908",0.578408707171987,0.578408707171987,20.59,1,1,0,89068,64920,89068,64920,"us_house"
"80","1970s_909",1972,"FL","909",NA,0.323032611091264,22.6,-1,0,1,0,0,54552.7790925934,114324.223474745,"us_house"
"81","1970s_910",1972,"FL","910",0.379869153872641,0.379869153872641,20.82,0,0,0,69502,113461,69502,113461,"us_house"
"82","1970s_911",1972,"FL","911",0.602174228599867,0.602174228599867,25.78,1,1,0,116157,76739,116157,76739,"us_house"
"83","1970s_912",1972,"FL","912",0.371723887539994,0.371723887539994,28.4,-1,0,0,65526,110750,65526,110750,"us_house"
"84","1970s_913",1972,"FL","913",0.616384724337903,0.616384724337903,44.5,0,1,0,92258,57418,92258,57418,"us_house"
"85","1970s_914",1972,"FL","914",0.676453640177912,0.676453640177912,41.89,1,1,0,75131,35935,75131,35935,"us_house"
"86","1970s_915",1972,"FL","915",0.568362595636874,0.568362595636874,36.58,1,1,0,89961,68320,89961,68320,"us_house"
"87","1970s_1001",1972,"GA","1001",1,0.590545314067915,24.81,0,1,1,55256,0,35019.2845641547,24280.626433238,"us_house"
"88","1970s_1002",1972,"GA","1002",1,0.577878522853542,20.44,1,1,1,65997,0,39557.6042825938,28895.5441183191,"us_house"
"89","1970s_1003",1972,"GA","1003",1,0.615015245565443,22.45,1,1,1,71756,0,45605.753850119,28548.1052272918,"us_house"
